depth	imgcount	area	nbr	greylimit1	greylimit2	greylimit3	datetime
2	3	7	960	28.5	30.0	31.5	20191121030001
2	3	12	480	28.5	30.0	31.5	20191121030001
2	3	19	24	28.5	30.0	31.5	20191121030001
2	3	30	48	28.5	30.0	31.5	20191121030001
2	3	75	80	28.5	30.0	31.5	20191121030001
2	3	118	137	28.5	30.0	31.5	20191121030001
7	3	7	957	28.5	30.0	31.5	20191121030104
7	3	12	477	28.5	30.0	31.5	20191121030104
7	3	19	24	28.5	30.0	31.5	20191121030104
7	3	30	45	28.5	30.0	31.5	20191121030104
7	3	75	77	28.5	30.0	31.5	20191121030104
7	3	118	136	28.5	30.0	31.5	20191121030104
12	3	7	955	28.5	30.0	31.5	20191121030207
12	3	12	475	28.5	30.0	31.5	20191121030207
12	3	19	24	28.5	30.0	31.5	20191121030207
12	3	30	43	28.5	30.0	31.5	20191121030207
12	3	75	75	28.5	30.0	31.5	20191121030207
12	3	118	136	28.5	30.0	31.5	20191121030207
17	3	7	952	28.5	30.0	31.5	20191121030310
17	3	12	472	28.5	30.0	31.5	20191121030310
17	3	19	24	28.5	30.0	31.5	20191121030310
17	3	30	40	28.5	30.0	31.5	20191121030310
17	3	75	72	28.5	30.0	31.5	20191121030310
17	3	118	136	28.5	30.0	31.5	20191121030310
22	3	7	950	28.5	30.0	31.5	20191121030413
22	3	12	470	28.5	30.0	31.5	20191121030413
22	3	19	24	28.5	30.0	31.5	20191121030413
22	3	30	38	28.5	30.0	31.5	20191121030413
22	3	75	70	28.5	30.0	31.5	20191121030413
22	3	118	136	28.5	30.0	31.5	20191121030413
27	3	7	948	28.5	30.0	31.5	20191121030516
27	3	12	468	28.5	30.0	31.5	20191121030516
27	3	19	24	28.5	30.0	31.5	20191121030516
27	3	30	36	28.5	30.0	31.5	20191121030516
27	3	75	68	28.5	30.0	31.5	20191121030516
27	3	118	136	28.5	30.0	31.5	20191121030516
32	3	7	945	28.5	30.0	31.5	20191121030619
32	3	12	465	28.5	30.0	31.5	20191121030619
32	3	19	24	28.5	30.0	31.5	20191121030619
32	3	30	33	28.5	30.0	31.5	20191121030619
32	3	75	66	28.5	30.0	31.5	20191121030619
32	3	118	136	28.5	30.0	31.5	20191121030619
37	3	7	943	28.5	30.0	31.5	20191121030722
37	3	12	463	28.5	30.0	31.5	20191121030722
37	3	19	24	28.5	30.0	31.5	20191121030722
37	3	30	31	28.5	30.0	31.5	20191121030722
37	3	75	64	28.5	30.0	31.5	20191121030722
37	3	118	136	28.5	30.0	31.5	20191121030722
42	3	7	940	28.5	30.0	31.5	20191121030825
42	3	12	460	28.5	30.0	31.5	20191121030825
42	3	19	24	28.5	30.0	31.5	20191121030825
42	3	30	28	28.5	30.0	31.5	20191121030825
42	3	75	63	28.5	30.0	31.5	20191121030825
42	3	118	136	28.5	30.0	31.5	20191121030825
