depth	imgcount	area	nbr	greylimit1	greylimit2	greylimit3	datetime
2	2	7	960	28.5	30.0	31.5	20191121020000
2	2	12	480	28.5	30.0	31.5	20191121020000
2	2	19	24	28.5	30.0	31.5	20191121020000
2	2	30	48	28.5	30.0	31.5	20191121020000
2	2	75	80	28.5	30.0	31.5	20191121020000
2	2	118	137	28.5	30.0	31.5	20191121020000
7	2	7	957	28.5	30.0	31.5	20191121020103
7	2	12	477	28.5	30.0	31.5	20191121020103
7	2	19	24	28.5	30.0	31.5	20191121020103
7	2	30	45	28.5	30.0	31.5	20191121020103
7	2	75	77	28.5	30.0	31.5	20191121020103
7	2	118	136	28.5	30.0	31.5	20191121020103
12	2	7	955	28.5	30.0	31.5	20191121020206
12	2	12	475	28.5	30.0	31.5	20191121020206
12	2	19	24	28.5	30.0	31.5	20191121020206
12	2	30	43	28.5	30.0	31.5	20191121020206
12	2	75	75	28.5	30.0	31.5	20191121020206
12	2	118	136	28.5	30.0	31.5	20191121020206
17	2	7	952	28.5	30.0	31.5	20191121020309
17	2	12	472	28.5	30.0	31.5	20191121020309
17	2	19	24	28.5	30.0	31.5	20191121020309
17	2	30	40	28.5	30.0	31.5	20191121020309
17	2	75	72	28.5	30.0	31.5	20191121020309
17	2	118	136	28.5	30.0	31.5	20191121020309
22	2	7	950	28.5	30.0	31.5	20191121020412
22	2	12	470	28.5	30.0	31.5	20191121020412
22	2	19	24	28.5	30.0	31.5	20191121020412
22	2	30	38	28.5	30.0	31.5	20191121020412
22	2	75	70	28.5	30.0	31.5	20191121020412
22	2	118	136	28.5	30.0	31.5	20191121020412
27	2	7	948	28.5	30.0	31.5	20191121020515
27	2	12	468	28.5	30.0	31.5	20191121020515
27	2	19	24	28.5	30.0	31.5	20191121020515
27	2	30	36	28.5	30.0	31.5	20191121020515
27	2	75	68	28.5	30.0	31.5	20191121020515
27	2	118	136	28.5	30.0	31.5	20191121020515
32	2	7	945	28.5	30.0	31.5	20191121020618
32	2	12	465	28.5	30.0	31.5	20191121020618
32	2	19	24	28.5	30.0	31.5	20191121020618
32	2	30	33	28.5	30.0	31.5	20191121020618
32	2	75	66	28.5	30.0	31.5	20191121020618
32	2	118	136	28.5	30.0	31.5	20191121020618
37	2	7	943	28.5	30.0	31.5	20191121020721
37	2	12	463	28.5	30.0	31.5	20191121020721
37	2	19	24	28.5	30.0	31.5	20191121020721
37	2	30	31	28.5	30.0	31.5	20191121020721
37	2	75	64	28.5	30.0	31.5	20191121020721
37	2	118	136	28.5	30.0	31.5	20191121020721
42	2	7	940	28.5	30.0	31.5	20191121020824
42	2	12	460	28.5	30.0	31.5	20191121020824
42	2	19	24	28.5	30.0	31.5	20191121020824
42	2	30	28	28.5	30.0	31.5	20191121020824
42	2	75	63	28.5	30.0	31.5	20191121020824
42	2	118	136	28.5	30.0	31.5	20191121020824
47	2	7	938	28.5	30.0	31.5	20191121020927
47	2	12	458	28.5	30.0	31.5	20191121020927
47	2	19	24	28.5	30.0	31.5	20191121020927
47	2	30	26	28.5	30.0	31.5	20191121020927
47	2	75	61	28.5	30.0	31.5	20191121020927
