depth	imgcount	area	nbr	greylimit1	greylimit2	greylimit3
2	1	7	400	42	54	67
2	1	12	200	42	54	67
2	1	19	10	32	34	37
2	1	30	20	34	39	45
2	1	75	33	38	46	54
2	1	118	57	37	51	65
7	1	7	399	42	54	67
7	1	12	199	42	54	67
7	1	19	10	32	34	37
7	1	30	19	34	39	44
7	1	75	32	37	45	54
7	1	118	57	37	51	65
12	1	7	398	42	54	67
12	1	12	198	42	54	67
12	1	19	10	32	34	37
12	1	30	18	34	38	43
12	1	75	31	37	45	53
12	1	118	57	37	51	65
17	1	7	397	42	54	67
17	1	12	197	42	54	66
17	1	19	10	32	34	37
17	1	30	17	34	38	42
17	1	75	30	37	44	52
17	1	118	57	37	51	65
22	1	7	396	42	54	67
22	1	12	196	42	54	66
22	1	19	10	32	34	37
22	1	30	16	33	37	42
22	1	75	29	37	44	51
22	1	118	56	37	51	66
27	1	7	395	42	54	67
27	1	12	195	42	54	66
27	1	19	10	32	34	37
27	1	30	15	33	37	41
27	1	75	28	36	43	51
27	1	118	56	37	51	66
32	1	7	394	42	54	66
32	1	12	194	42	54	66
32	1	19	10	32	34	37
32	1	30	14	33	36	40
32	1	75	27	36	43	50
32	1	118	56	37	51	66
37	1	7	393	42	54	66
37	1	12	193	42	54	66
37	1	19	10	32	34	37
37	1	30	13	33	36	39
37	1	75	27	36	43	50
37	1	118	56	37	51	66
42	1	7	392	42	54	66
42	1	12	192	41	53	66
42	1	19	10	32	34	37
42	1	30	12	32	35	39
42	1	75	26	36	42	49
42	1	118	56	37	51	66
47	1	7	391	42	54	66
47	1	12	191	41	53	65
47	1	19	10	32	34	37
47	1	30	11	32	35	38
47	1	75	25	36	42	48
47	1	118	56	37	51	66
52	1	7	390	42	54	66
52	1	12	190	41	53	65
52	1	19	10	32	34	37
52	1	30	10	32	34	37
52	1	75	25	36	42	48
52	1	118	56	37	51	66
57	1	7	389	42	54	66
57	1	12	189	41	53	65
57	1	19	10	32	34	37
57	1	30	9	32	34	36
57	1	75	24	35	41	48
57	1	118	56	37	51	66
62	1	7	388	42	54	66
62	1	12	188	41	53	65
62	1	19	10	32	34	37
62	1	30	8	31	33	36
62	1	75	23	35	41	47
62	1	118	56	37	51	66
67	1	7	387	42	54	66
67	1	12	187	41	53	65
67	1	19	10	32	34	37
67	1	30	7	31	33	35
67	1	75	23	35	41	47
67	1	118	56	37	51	66
72	1	7	386	42	54	66
72	1	12	186	41	53	64
72	1	19	10	32	34	37
72	1	30	6	31	32	34
